user_id,recovery_st_date,last_announcement,last_recovery_daysago
271,2016-09-06,2017-09-06 04:51:28,365
271,2016-09-06,2017-09-06 04:51:28,365
271,2016-09-06,2017-09-06 04:51:28,365
271,2016-09-06,2017-09-06 04:51:28,365
271,2016-09-06,2017-09-06 04:51:28,365
271,2016-09-06,2017-09-06 04:51:28,365
271,2016-09-06,2017-09-06 04:51:28,365
277,2018-09-29,2019-02-18 04:09:55,210
277,2018-09-29,2019-02-18 04:09:55,210
277,2018-09-29,2019-02-18 04:09:55,210
277,2018-09-29,2019-02-18 04:09:55,210
133,2018-07-02,2019-02-12 23:57:16,180
133,2018-07-02,2019-02-12 23:57:16,180
133,2018-07-02,2019-02-12 23:57:16,180
133,2018-07-02,2019-02-12 23:57:16,180
133,2018-07-02,2019-02-12 23:57:16,180
133,2018-07-02,2019-02-12 23:57:16,180
133,2018-07-02,2019-02-12 23:57:16,180
133,2018-07-02,2019-02-12 23:57:16,180
37,2018-08-14,2019-04-11 01:05:54,240
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
270,2015-12-22,2018-06-21 19:00:47,912
174,2014-11-15,2015-04-24 04:58:09,14
174,2014-11-15,2015-04-24 04:58:09,14
174,2014-11-15,2015-04-24 04:58:09,14
174,2014-11-15,2015-04-24 04:58:09,14
174,2014-11-15,2015-04-24 04:58:09,14
174,2014-11-15,2015-04-24 04:58:09,14
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
370,2017-04-04,2018-08-09 01:33:59,480
230,2017-02-04,2017-03-08 15:33:50,32
209,2016-03-15,2016-04-29 16:33:11,45
209,2016-03-15,2016-04-29 16:33:11,45
99,2017-01-03,2018-07-25 21:00:20,540
99,2017-01-03,2018-07-25 21:00:20,540
99,2017-01-03,2018-07-25 21:00:20,540
99,2017-01-03,2018-07-25 21:00:20,540
99,2017-01-03,2018-07-25 21:00:20,540
99,2017-01-03,2018-07-25 21:00:20,540
99,2017-01-03,2018-07-25 21:00:20,540
99,2017-01-03,2018-07-25 21:00:20,540
99,2017-01-03,2018-07-25 21:00:20,540
279,2018-05-09,2019-01-19 09:41:32,270
279,2018-05-09,2019-01-19 09:41:32,270
279,2018-05-09,2019-01-19 09:41:32,270
279,2018-05-09,2019-01-19 09:41:32,270
279,2018-05-09,2019-01-19 09:41:32,270
279,2018-05-09,2019-01-19 09:41:32,270
279,2018-05-09,2019-01-19 09:41:32,270
389,2015-10-06,2016-04-03 20:36:15,180
389,2015-10-06,2016-04-03 20:36:15,180
389,2015-10-06,2016-04-03 20:36:15,180
167,2019-02-08,2019-02-26 01:44:05,17
353,2019-04-19,2019-04-24 12:57:29,5
80,2018-06-11,2018-09-29 12:50:07,110
80,2018-06-11,2018-09-29 12:50:07,110
80,2018-06-11,2018-09-29 12:50:07,110
44,2018-03-28,2018-11-08 13:41:19,150
44,2018-03-28,2018-11-08 13:41:19,150
44,2018-03-28,2018-11-08 13:41:19,150
44,2018-03-28,2018-11-08 13:41:19,150
44,2018-03-28,2018-11-08 13:41:19,150
44,2018-03-28,2018-11-08 13:41:19,150
44,2018-03-28,2018-11-08 13:41:19,150
385,2018-07-11,2018-11-19 19:06:59,100
385,2018-07-11,2018-11-19 19:06:59,100
385,2018-07-11,2018-11-19 19:06:59,100
385,2018-07-11,2018-11-19 19:06:59,100
385,2018-07-11,2018-11-19 19:06:59,100
291,2018-04-19,2018-10-17 14:03:31,180
291,2018-04-19,2018-10-17 14:03:31,180
291,2018-04-19,2018-10-17 14:03:31,180
291,2018-04-19,2018-10-17 14:03:31,180
291,2018-04-19,2018-10-17 14:03:31,180
291,2018-04-19,2018-10-17 14:03:31,180
291,2018-04-19,2018-10-17 14:03:31,180
95,2017-05-10,2017-09-07 04:21:07,120
95,2017-05-10,2017-09-07 04:21:07,120
409,2019-04-15,2019-05-06 03:26:31,21
111,2016-07-02,2018-01-25 16:27:05,570
109,2018-03-05,2018-05-18 01:01:14,90
109,2018-03-05,2018-05-18 01:01:14,90
109,2018-03-05,2018-05-18 01:01:14,90
201,2014-09-07,2017-09-06 16:43:32,1095
201,2014-09-07,2017-09-06 16:43:32,1095
201,2014-09-07,2017-09-06 16:43:32,1095
201,2014-09-07,2017-09-06 16:43:32,1095
201,2014-09-07,2017-09-06 16:43:32,1095
201,2014-09-07,2017-09-06 16:43:32,1095
201,2014-09-07,2017-09-06 16:43:32,1095
201,2014-09-07,2017-09-06 16:43:32,1095
201,2014-09-07,2017-09-06 16:43:32,1095
201,2014-09-07,2017-09-06 16:43:32,1095
201,2014-09-07,2017-09-06 16:43:32,1095
369,2017-02-06,2017-06-06 15:51:10,120
1,2018-12-26,2019-01-09 03:16:41,14
11,2018-11-28,2019-01-27 00:24:06,60
11,2018-11-28,2019-01-27 00:24:06,60
11,2018-11-28,2019-01-27 00:24:06,60
41,2017-02-25,2018-03-06 02:12:55,120
41,2017-02-25,2018-03-06 02:12:55,120
41,2017-02-25,2018-03-06 02:12:55,120
41,2017-02-25,2018-03-06 02:12:55,120
41,2017-02-25,2018-03-06 02:12:55,120
421,2018-07-27,2019-02-05 16:21:05,210
421,2018-07-27,2019-02-05 16:21:05,210
94,2017-01-24,2019-01-24 06:03:45,730
113,2018-07-04,2019-03-31 09:11:21,270
113,2018-07-04,2019-03-31 09:11:21,270
130,2017-04-04,2017-08-03 01:24:07,121
130,2017-04-04,2017-08-03 01:24:07,121
130,2017-04-04,2017-08-03 01:24:07,121
130,2017-04-04,2017-08-03 01:24:07,121
399,2018-04-14,2019-06-13 00:15:13,365
399,2018-04-14,2019-06-13 00:15:13,365
399,2018-04-14,2019-06-13 00:15:13,365
399,2018-04-14,2019-06-13 00:15:13,365
399,2018-04-14,2019-06-13 00:15:13,365
399,2018-04-14,2019-06-13 00:15:13,365
399,2018-04-14,2019-06-13 00:15:13,365
